"Time (s) Run #4","Position (m) Run #4"
0.000,1.70386E-1
0.020,1.65918E-1
0.040,1.68560E-1
0.060,1.68560E-1
0.080,1.68560E-1
0.100,1.68560E-1
0.120,1.68560E-1
0.140,1.68564E-1
0.160,1.68388E-1
0.180,1.68388E-1
0.200,1.68388E-1
0.220,1.68388E-1
0.240,1.68388E-1
0.260,1.68388E-1
0.280,1.68388E-1
0.300,1.68388E-1
0.320,1.68388E-1
0.340,1.68388E-1
0.360,1.68392E-1
0.380,1.68212E-1
0.400,1.68430E-1
0.420,1.66626E-1
0.440,1.68409E-1
0.460,1.67507E-1
0.480,1.68388E-1
0.500,1.68388E-1
0.520,1.68422E-1
0.540,1.66979E-1
0.560,1.68388E-1
0.580,1.68388E-1
0.600,1.68388E-1
0.620,1.68388E-1
0.640,1.68388E-1
0.660,1.68388E-1
0.680,1.68388E-1
0.700,1.68384E-1
0.720,1.68556E-1
0.740,1.68736E-1
0.760,1.68472E-1
0.780,1.72981E-1
0.800,1.39991E-1
0.820,1.40213E-1
0.840,1.72958E-1
0.860,1.80574E-1
0.880,0.00000E0
0.900,0.00000E0
0.920,0.00000E0
0.940,0.00000E0
0.960,1.29322E-1
0.980,1.40057E-1
1.000,1.28945E-1
1.020,1.31861E-1
1.040,1.35321E-1
1.060,1.28338E-1
1.080,1.45270E-1
1.100,1.64839E-1
1.120,1.83707E-1
1.140,2.02590E-1
1.160,2.20956E-1
1.180,2.38987E-1
1.200,2.56505E-1
1.220,2.73505E-1
1.240,2.90163E-1
1.260,3.06487E-1
1.280,3.22299E-1
1.300,3.37590E-1
1.320,3.52548E-1
1.340,3.66984E-1
1.360,3.81087E-1
1.380,3.94708E-1
1.400,4.07220E-1
1.420,4.20138E-1
1.440,4.32350E-1
1.460,4.44220E-1
1.480,4.55759E-1
1.500,4.66784E-1
1.520,4.77284E-1
1.540,4.87441E-1
1.560,4.97269E-1
1.580,5.06582E-1
1.600,5.15369E-1
1.620,5.23813E-1
1.640,5.31927E-1
1.660,5.39500E-1
1.680,5.46833E-1
1.700,5.55047E-1
1.720,5.61447E-1
1.740,5.67332E-1
1.760,5.72703E-1
1.780,5.77545E-1
1.800,5.82043E-1
1.820,5.86212E-1
1.840,5.89867E-1
1.860,5.92991E-1
1.880,5.95771E-1
1.900,5.98223E-1
1.920,6.00160E-1
1.940,6.01566E-1
1.960,6.02628E-1
1.980,6.03361E-1
2.000,6.03578E-1
2.020,6.03264E-1
2.040,6.02606E-1
2.060,6.01619E-1
2.080,6.00101E-1
2.100,5.98253E-1
2.120,5.95874E-1
2.140,5.93151E-1
2.160,5.90098E-1
2.180,5.86499E-1
2.200,5.82771E-1
2.220,5.78325E-1
2.240,5.73534E-1
2.260,5.68527E-1
2.280,5.61369E-1
2.300,5.55586E-1
2.320,5.48885E-1
2.340,5.42012E-1
2.360,5.34992E-1
2.380,5.27456E-1
2.400,5.19375E-1
2.420,5.11148E-1
2.440,5.02390E-1
2.460,4.93299E-1
2.480,4.83677E-1
2.500,4.73699E-1
2.520,4.63582E-1
2.540,4.52740E-1
2.560,4.41748E-1
2.580,4.30226E-1
2.600,4.18369E-1
2.620,4.05953E-1
2.640,3.93758E-1
2.660,3.80872E-1
2.680,3.67276E-1
2.700,3.53324E-1
2.720,3.39217E-1
2.740,3.24590E-1
2.760,3.09428E-1
2.780,2.94108E-1
2.800,2.78262E-1
2.820,2.62069E-1
2.840,2.45536E-1
2.860,2.28477E-1
2.880,2.11072E-1
2.900,1.93324E-1
2.920,1.75044E-1
2.940,1.56716E-1
2.960,1.40419E-1
2.980,1.28394E-1
3.000,1.33267E-1
3.020,1.35098E-1
3.040,1.31133E-1
3.060,1.27455E-1
3.080,1.27296E-1
3.100,1.26414E-1
3.120,1.26742E-1
3.140,1.27949E-1
3.160,1.29016E-1
3.180,1.28127E-1
3.200,1.28818E-1
3.220,1.29347E-1
3.240,1.29175E-1
3.260,1.29003E-1
3.280,1.28828E-1
3.300,1.28822E-1
3.320,1.29169E-1
3.340,1.29338E-1
3.360,1.29691E-1
3.380,1.29516E-1
3.400,1.29516E-1
3.420,1.29516E-1
3.440,1.29513E-1
3.460,1.29685E-1
3.480,1.29857E-1
3.500,1.30025E-1
3.520,1.30376E-1
3.540,1.30373E-1
3.560,1.30548E-1
3.580,1.30545E-1
3.600,1.30717E-1
3.620,1.30889E-1
3.640,1.31061E-1
3.660,1.31233E-1
3.680,1.31408E-1
3.700,1.31408E-1
3.720,1.31405E-1
3.740,1.31573E-1
3.760,1.31924E-1
3.780,1.31957E-1
3.800,1.30197E-1
3.820,1.30541E-1
3.840,1.30885E-1
3.860,1.31233E-1
3.880,1.31401E-1
3.900,1.31749E-1
3.920,1.31917E-1
3.940,1.32261E-1
3.960,1.32612E-1
3.980,1.32612E-1
4.000,1.32612E-1
4.020,1.32605E-1
4.040,1.32956E-1
4.060,1.32956E-1
4.080,1.32956E-1
4.100,1.32963E-1
4.120,1.32612E-1
4.140,1.32612E-1
4.160,1.32612E-1
4.180,1.32612E-1
4.200,1.32615E-1
4.220,1.32450E-1
4.240,1.31934E-1
4.260,1.31421E-1
4.280,1.30730E-1
4.300,1.30171E-1
4.320,1.31940E-1
4.340,1.31084E-1
4.360,1.30039E-1
4.380,1.29711E-1
4.400,1.28474E-1
4.420,1.29019E-1
4.440,1.27994E-1
4.460,1.26573E-1
4.480,1.27653E-1
4.500,1.26054E-1
4.520,1.27302E-1
4.540,1.26060E-1
4.560,1.26952E-1
4.580,1.26057E-1
4.600,1.27035E-1
4.620,1.31179E-1
4.640,1.25013E-1
4.660,1.26720E-1
4.680,1.29175E-1
4.700,1.29000E-1
4.720,1.28958E-1
4.740,1.31321E-1
4.760,1.26805E-1
4.780,1.24345E-1
4.800,1.34872E-1
4.820,1.24669E-1
4.840,1.26354E-1
4.860,1.30025E-1
4.880,1.30383E-1
4.900,1.29987E-1
4.920,1.31647E-1
4.940,1.75047E-1
4.960,1.28285E-1
4.980,1.38597E-1
5.000,1.66263E-1
5.020,1.76150E-1
5.040,1.75417E-1
5.060,1.69420E-1
5.080,1.69424E-1
5.100,1.69176E-1
5.120,1.72185E-1
5.140,1.71652E-1
5.160,1.71892E-1
5.180,1.69189E-1
5.200,1.71716E-1
5.220,1.69248E-1
5.240,1.69244E-1
5.260,1.69424E-1
5.280,1.69248E-1
5.300,1.69248E-1
5.320,1.69248E-1
5.340,1.69248E-1
5.360,1.69248E-1
5.380,1.69252E-1
5.400,1.69072E-1
5.420,1.69248E-1
5.440,1.69248E-1
5.460,1.69252E-1
5.480,1.69072E-1
5.500,1.69248E-1
5.520,1.69248E-1
5.540,1.69248E-1
5.560,1.69248E-1
5.580,1.69252E-1
5.600,1.69076E-1
5.620,1.69076E-1
5.640,1.69072E-1
5.660,1.69252E-1
5.680,1.69072E-1
5.700,1.69252E-1
5.720,1.69076E-1
5.740,1.69076E-1
5.760,1.69072E-1
5.780,1.69248E-1
5.800,1.69248E-1
5.820,1.69248E-1
5.840,1.69248E-1
5.860,1.69248E-1
5.880,1.69248E-1
5.900,1.69248E-1
5.920,1.69248E-1
5.940,1.69248E-1
5.960,1.69248E-1
5.980,1.69248E-1
6.000,1.69248E-1
6.020,1.69248E-1
6.040,1.69248E-1
6.060,1.69248E-1
6.080,1.69248E-1
6.100,1.69248E-1
6.120,1.69248E-1
6.140,1.69248E-1
6.160,1.69248E-1
6.180,1.69248E-1
6.200,1.69248E-1
6.220,1.69248E-1
6.240,1.69248E-1
6.260,1.69248E-1
6.280,1.69248E-1
6.300,1.69248E-1
6.320,1.69248E-1
6.340,1.69244E-1
6.360,1.69420E-1
6.380,1.69424E-1
6.400,1.69244E-1
6.420,1.69420E-1
6.440,1.69420E-1
6.460,1.69420E-1
6.480,1.69420E-1
